tweet_text,embedded_text,hashtags,usernames,combined,similarity_score
"build a team

have a team

make a team

join a team worlds top 10 bitcoin holders are majorly companies team

wallets like binance 550000 btc  are not included as they mainly hold funds for users rather than owning all of them directly

lesson in there team","bledigmi build a team

have a team

make a team

join a team worlds top 10 bitcoin holders are majorly companies team

wallets like binance 550000 btc  are not included as they mainly hold funds for users rather than owning all of them directly

lesson in there team show more 31 31 18 18 130 130 93k 93k",bitcoin,bledigmi,"build a team

have a team

make a team

join a team worlds top 10 bitcoin holders are majorly companies team

wallets like binance 550000 btc  are not included as they mainly hold funds for users rather than owning all of them directly

lesson in there team bledigmi build a team

have a team

make a team

join a team worlds top 10 bitcoin holders are majorly companies team

wallets like binance 550000 btc  are not included as they mainly hold funds for users rather than owning all of them directly

lesson in there team show more 31 31 18 18 130 130 93k 93k bitcoin bledigmi",0.10223510834887216
"most people will never know what it feels like to own a single bitcoin 

make sure youre not one of them","bycoinvo most people will never know what it feels like to own a single bitcoin 

make sure youre not one of them 29 29 41 41 530 530 28k 28k",bitcoin,bycoinvo,"most people will never know what it feels like to own a single bitcoin 

make sure youre not one of them bycoinvo most people will never know what it feels like to own a single bitcoin 

make sure youre not one of them 29 29 41 41 530 530 28k 28k bitcoin bycoinvo",0.06037702235321583
"months ago i said the ww2 economic order was unwinding and the dollars reserve status was no longer sustainable

now the white house is admitting it

were moving toward a global distributed neutral reserve asset for all

got bitcoin","jackmallers months ago i said the ww2 economic order was unwinding and the dollars reserve status was no longer sustainable

now the white house is admitting it

were moving toward a global distributed neutral reserve asset for all

got bitcoin the white house the white house quote jack mallers jack mallers jackmallers we are witnessing the unwind of the ww2 economic order

whats happening now is much bigger than tariffs for nearly 80 years the us exported dollars while importing goods  debt that system is failing

whats next a move back to a neutral reserve currency got bitcoin bitcoin 132 132 549 549 3k 3k 231k 231k",bitcoin,jackmallers,"months ago i said the ww2 economic order was unwinding and the dollars reserve status was no longer sustainable

now the white house is admitting it

were moving toward a global distributed neutral reserve asset for all

got bitcoin jackmallers months ago i said the ww2 economic order was unwinding and the dollars reserve status was no longer sustainable

now the white house is admitting it

were moving toward a global distributed neutral reserve asset for all

got bitcoin the white house the white house quote jack mallers jack mallers jackmallers we are witnessing the unwind of the ww2 economic order

whats happening now is much bigger than tariffs for nearly 80 years the us exported dollars while importing goods  debt that system is failing

whats next a move back to a neutral reserve currency got bitcoin bitcoin 132 132 549 549 3k 3k 231k 231k bitcoin jackmallers",0.05953010510896664
"breaking

a whale just bought 315 million worth of bitcoin bullish","cryptogoos breaking

a whale just bought 315 million worth of bitcoin bullish 27 27 23 23 153 153 26k 26k",bitcoin,cryptogoos,"breaking

a whale just bought 315 million worth of bitcoin bullish cryptogoos breaking

a whale just bought 315 million worth of bitcoin bullish 27 27 23 23 153 153 26k 26k bitcoin cryptogoos",0.05797566657093035
"texas senator says bitcoin is the best performing asset over the past 10 years

what a time to be alive","vivek4real texas senator says bitcoin is the best performing asset over the past 10 years

what a time to be alive 92 92 245 245 19k 19k 52k 52k",bitcoin,vivek4real,"texas senator says bitcoin is the best performing asset over the past 10 years

what a time to be alive vivek4real texas senator says bitcoin is the best performing asset over the past 10 years

what a time to be alive 92 92 245 245 19k 19k 52k 52k bitcoin vivek4real",0.0578699952627146
"every day i will reward my reply guys you should follow
drop sol address 8h crypto solana bitcoin","amperelayer every day i will reward my reply guys you should follow
drop sol address 8h crypto solana bitcoin 104 104 66 66 99 99 33k 33k",bitcoin solana crypto,amperelayer,"every day i will reward my reply guys you should follow
drop sol address 8h crypto solana bitcoin amperelayer every day i will reward my reply guys you should follow
drop sol address 8h crypto solana bitcoin 104 104 66 66 99 99 33k 33k bitcoin solana crypto amperelayer",0.055745482574953514
"tomorrow president bukele to meet with president trump at the white house

think theyll talk bitcoin","cryptosrus tomorrow president bukele to meet with president trump at the white house

think theyll talk bitcoin 000  018 47 47 80 80 581 581 23k 23k",bitcoin,cryptosrus,"tomorrow president bukele to meet with president trump at the white house

think theyll talk bitcoin cryptosrus tomorrow president bukele to meet with president trump at the white house

think theyll talk bitcoin 000  018 47 47 80 80 581 581 23k 23k bitcoin cryptosrus",0.054561561263984634
michael saylor says im a single guy with no kidswhen im gone just like satoshi left a million bitcoin to the world ill leave everything ive got to civilization,saylordocs michael saylor says im a single guy with no kidswhen im gone just like satoshi left a million bitcoin to the world ill leave everything ive got to civilization 157 157 214 214 17k 17k 153k 153k,bitcoin,saylordocs,michael saylor says im a single guy with no kidswhen im gone just like satoshi left a million bitcoin to the world ill leave everything ive got to civilization saylordocs michael saylor says im a single guy with no kidswhen im gone just like satoshi left a million bitcoin to the world ill leave everything ive got to civilization 157 157 214 214 17k 17k 153k 153k bitcoin saylordocs,0.05453745192199218
seems like the market is waiting for some headline soon but dont over complicate it bitcoin has broken its downtrend for the first time since january both horizontally just as diagonally,iamjackis seems like the market is waiting for some headline soon but dont over complicate it bitcoin has broken its downtrend for the first time since january both horizontally just as diagonally 31 31 51 51 405 405 21k 21k,bitcoin,iamjackis,seems like the market is waiting for some headline soon but dont over complicate it bitcoin has broken its downtrend for the first time since january both horizontally just as diagonally iamjackis seems like the market is waiting for some headline soon but dont over complicate it bitcoin has broken its downtrend for the first time since january both horizontally just as diagonally 31 31 51 51 405 405 21k 21k bitcoin iamjackis,0.05385732707084655
"breaking saylor just bought 3459 bitcoin worth 285 million

100k coming soon","evanluthra breaking saylor just bought 3459 bitcoin worth 285 million

100k coming soon 101 101 114 114 543 543 39k 39k",bitcoin,evanluthra,"breaking saylor just bought 3459 bitcoin worth 285 million

100k coming soon evanluthra breaking saylor just bought 3459 bitcoin worth 285 million

100k coming soon 101 101 114 114 543 543 39k 39k bitcoin evanluthra",0.053530058781629156
